,Player,PS/G▼,SALARY
0,Stephen Curry,30,11370786
1,James Harden,29,15756438
2,Kevin Durant,28,20158622
3,DeMarcus Cousins,26,15851950
4,LeBron James,25,22970500
5,Damian Lillard,25,4236287
6,Anthony Davis,24,7070730
7,DeMar DeRozan,23,10050000
8,Russell Westbrook,23,16744218
9,Paul George,23,17120106
10,Isaiah Thomas,22,6912869
11,Klay Thompson,22,15501000
12,Carmelo Anthony,21,22875000
13,Blake Griffin,21,18907726
14,Kawhi Leonard,21,16407500
16,Jimmy Butler,20,16407500
17,Kemba Walker,20,12000000
18,C.J. McCollum,20,2525160
19,Andrew Wiggins,20,5758680
21,Eric Bledsoe,20,13500000
22,John Wall,19,15851950
23,Gordon Hayward,19,15409570
24,Kyrie Irving,19,16407501
25,Brandon Knight,19,13500000
26,Danilo Gallinari,19,14000000
27,Chris Paul,19,21468695
28,Chris Bosh,19,22192730
29,Dwyane Wade,19,20000000
30,Reggie Jackson,18,13913044
31,Dirk Nowitzki,18,8333334
32,Karl-Anthony Towns,18,5703600
33,Khris Middleton,18,14700000
34,Nikola Vucevic,18,11250000
35,LaMarcus Aldridge,18,19689000
36,Kobe Bryant,17,25000000
37,Jahlil Okafor,17,4582680
38,Bradley Beal,17,5694674
39,Rudy Gay,17,12403101
40,Paul Millsap,17,18671659
42,Giannis Antetokounmpo,16,1953960
43,Jrue Holiday,16,10595507
44,Marc Gasol,16,19688000
45,Pau Gasol,16,7448760
47,Derrick Rose,16,20093064
48,J.J. Redick,16,7085000
49,Andre Drummond,16,3272091
50,Kevin Love,16,19689000
51,Victor Oladipo,16,5192520
52,Jeff Teague,15,8000000
54,Evan Fournier,15,2288205
55,Mike Conley,15,9588426
57,Zach Randolph,15,9638555
59,Avery Bradley,15,7730337
60,Tyreke Evans,15,10734586
61,Eric Gordon,15,15514031
63,Thaddeus Young,15,11235955
64,Nicolas Batum,14,13125306
65,Tobias Harris,14,16000000
66,Kentavious Caldwell-Pope,14,2891760
67,Rodney Hood,14,1348440
68,Will Barton,14,3533333
69,Kristaps Porzingis,14,4131720
70,Jamal Crawford,14,5675000
71,Jae Crowder,14,6796117
72,Hassan Whiteside,14,981348
73,Goran Dragic,14,14783000
75,Jabari Parker,14,5152440
76,Deron Williams,14,5378974
77,Darren Collison,14,5013559
78,Draymond Green,14,14260870
79,Zach LaVine,14,2148360
80,Devin Booker,13,2127840
81,Monta Ellis,13,10300000
82,Dwight Howard,13,22359364
83,Chandler Parsons,13,15361500
84,Marcin Gortat,13,11217391
85,Alec Burks,13,9463484
86,D'Angelo Russell,13,5103120
88,Arron Afflalo,12,8000000
89,Michael Beasley,12,306527
90,Robert Covington,12,1000000
91,Jarrett Jack,12,6300000
92,Emmanuel Mudiay,12,3102240
93,Jonas Valanciunas,12,4660482
94,Trevor Ariza,12,8193030
96,Enes Kanter,12,16407500
97,Michael Kidd-Gilchrist,12,6331404
98,Serge Ibaka,12,12250000
100,Kenneth Faried,12,11235955
103,Luol Deng,12,10151612
104,Gary Harris,12,1584480
105,Joe Johnson,12,261894
106,Mirza Teletovic,12,5500000
108,Al Jefferson,12,13500000
109,Markieff Morris,12,8000000
110,Tony Parker,11,13437500
111,Rajon Rondo,11,9500000
112,Omri Casspi,11,2836186
113,C.J. Miles,11,4394225
114,Nikola Mirotic,11,5543725
115,Harrison Barnes,11,3873398
116,Jeff Green,11,9650000
117,Jeremy Lin,11,2139000
118,Marvin Williams,11,7000000
119,Kent Bazemore,11,2000000
121,Michael Carter-Williams,11,2399040
122,Jordan Hamilton,11,1015421
123,Julius Randle,11,3132240
124,Bojan Bogdanovic,11,3425510
125,Sean Kilpatrick,11,134215
126,Nerlens Noel,11,3457800
127,Isaiah Canaan,11,947276
128,DeMarre Carroll,11,13600000
129,Dennis Schroder,11,1763400
131,J.J. Barea,10,4290000
132,Elfrid Payton,10,2505720
133,Trey Burke,10,2658240
134,Norris Cole,10,3036927
135,Shabazz Muhammad,10,2056920
136,Evan Turner,10,3425510
138,Ersan Ilyasova,10,7900000
139,Mario Chalmers,10,4300000
141,Robin Lopez,10,12650000
142,Jared Sullinger,10,2569260
143,Myles Turner,10,2357760
144,Al-Farouq Aminu,10,8042895
145,Marco Belinelli,10,6060606
146,Gorgui Dieng,10,1474440
147,Ricky Rubio,10,12700000
148,Matt Barnes,10,3542500
149,Nikola Jokic,10,1300000
150,Kelly Olynyk,10,2165160
151,Patrick Beverley,9,6486486
152,Terrence Ross,9,3553917
153,Ramon Sessions,9,2170465
154,Carl Landry,9,6500000
155,Gary Neal,9,2139000
157,Dion Waiters,9,5138430
158,Jerami Grant,9,845059
159,Marcus Thornton,9,200600
160,Manu Ginobili,9,2814000
161,Courtney Lee,9,5675000
162,Raymond Felton,9,3950313
163,Doug McDermott,9,2380440
164,Ian Mahinmi,9,4000000
165,Kevin Martin,9,200600
168,Aaron Gordon,9,4171680
169,Nene Hilario,9,13000000
